Firm.Name,Sum_Assts_Wted,Sum_Assets,Fee_Wted
Gator,3654635.619166667,3059210.0833333335,1.194633751724744
Glenmede,10619705932.941666,13386744932.916666,0.7933000879720111
GMO,28937571764.761665,65704468531.1342,0.4404201481524736
Goehring & Rozencwajg,11316382.1225,32489746.333333336,0.3483062627327992
Goldman Sachs,73007936435.721,100949860757.36794,0.7232098775370766
Golub,71636861.35416667,58653645.666666664,1.2213539421110267
Good Harbor,8979831.125833333,11807951.416666666,0.760490182332432
GoodHaven,255990573.735,132656346,1.9297273101054662
Gotham,8098391857.914166,2906977587.4166665,2.7858459910284123
GQG Partners,210947544.14916667,847952123,0.24877294180578008
Grandeur Peak Funds,3785164026.899167,3154591023.083333,1.1998905719320487
Grant Park,448810617.74333334,259539831.58333334,1.7292552553700364
Great-West Funds,11742529671.692501,21308722804.511906,0.5510667992361391
Great Lakes Funds,254048590.31,345190347.5833333,0.735966669081526
Green Century,331022562.25666666,244616373.83333334,1.3532314172975404
Green Owl,84340662.45,81371003.41666667,1.0364952981853617
Green Square Asset Management,29839237.005,70045735.83333333,0.4259964814417742
Greenspring,312771179.93333334,253992909.5,1.2314169736038767
Guggenheim Investments,18300413490.026665,26621101520.5,0.6874401300011626
GuideMark,1998024641.3747725,2175435385,0.9184481668136388
GuidePath,467224027.06000006,617947282.7777778,0.7560904304971596
GuideStone Funds,9899700265.593334,18039221563.25,0.5487875533255424
Guinness Atkinson,477893533.73833334,365303651.9166667,1.3082090234546868
Hamlin Funds,683867021.86,799588504.3333333,0.855273704103816
Hancock Horizon,1620382163.8500001,1084332439.5833333,1.4943592063635485
Hanlon,895082371.785,346171844.25,2.585659078439046
Harbor,51735390517.190834,60864721529.48809,0.8500061976316736
Harding Loevner,20786080827.39367,24696705920,0.8416539798759393
Hartford Mutual Funds,96726402220.1515,114895242375.63809,0.8418660357050691
Harvest Funds,44556045.83,36535414.75,1.2195303142138272
Haverford,149045384.88,194859738.08333334,0.7648854829942321
Heartland,1680596796.6883335,1383598806.0833335,1.2146561483713163
Hedeker Wealth,67383890.13,57281435.833333336,1.1763652420665722
Heitman,17.9,10347093.333333332,1.7299544348686654e-6
Hennessy,6833840484.7875,5160567473.083333,1.3242420567954363
Highland Funds,2221162018.9058332,957690611,2.319289751192761
Hillman Capital Management,53607500.5,33511851.333333332,1.5996579826873984
Hodges,1682265003.0141666,965592220.5,1.7422106012236318
Holbrook Holdings,2253193.2583333333,18406922.416666664,0.12241010242392097
Holland Series Trust,56007984.66666667,31564323.75,1.7744078761283986
Homestead,2681130402.585,2886854613,0.9287375922955771
Hood River Capital Management,254211549.45700002,452840218.6666667,0.5613714042571024
Horizon Investments,1119386052.142857,1395466558.0075758,0.8021589952976717
Hotchkis & Wiley,6247792982.3625,6561000126.083334,0.9522622865871203
Howard Capital Management,797024249.0883334,730594562.5,1.0909255146397745
HSBC,206895035.74333334,210883830.83333334,0.981085344124119
Huber Funds,231745832.50833333,162900401.91666666,1.4226228405924084
Hussman Funds,762649436.505,609871807.9166666,1.2505077732814451
HVIA Equity Fund,12356739.0375,16443960.75,0.7514454227519364
ICM Series Trust,679550691.86,779231946.75,0.872077556232457
ICON Funds,1553056888.1916666,934945711.75,1.6611198582693179
iM Global Partner (US),0,1535215.25,0
IMS,103061124.57,49319489.5,2.0896632470212406
Independent Franchise Partners,1433942978.4566667,2038971965.1666667,0.7032676284685726
Infinity Q,348674871.1766666,272153072.4166666,1.281171908442926
Innealta Capital,178464941.84666666,197694286.16666666,0.902731916572497
Innovative,0,101034,0
IntegrityVikingFunds,1250727005.6508334,796863517.6666666,1.5695623879395881
Intrepid Funds,906236485.7158333,573075431.5833334,1.5813563726018038
Invesco,328900728372.43994,341384891852.2222,0.9634308260917814
Investment House Funds,128719690.21666667,109216835,1.1785700456954888
Iron Funds,140316845.2541667,79205893.58333333,1.7715455114023544
Ironclad Funds,162291413.33333334,85317398.33333333,1.9022077149992798
Issachar Fund,30706162.85,13240534.416666666,2.319102982078147
IVA Funds,13461197949.541666,11795007963.666666,1.141262302747699
Ivy Funds,46220697901.22528,59817866182.59091,0.7726905162437425
Jackson National,122177551602.29639,167711951183.98334,0.7284963936068288
Jackson Square,451860818.82916665,668177852.5,0.6762583002991208
Jacob,147347212.8458333,73977495.83333333,1.9917842742041088
JAG Capital Management,68416000.10416667,61029337.41666667,1.1210346204001678
Jaguar,874229.775,7126432.166666667,0.12267425754631356
James Advantage,3457434389.8400006,2312674177.5833335,1.4949941601600374
James Alpha Advisors,856271129.1822143,884165846.7666667,0.9684508085372654
Janus Henderson,102193725410.77948,138440810118,0.7381763030978703
Jensen,4430361701.877501,6617912426.916666,0.6694500344033169
JOHCM Funds,7157839960.958333,8989194144.333334,0.7962715952097372
John Hancock,117036133808.20638,180668189106.8288,0.6477960198018208
Johnson Mutual Funds,749150096.2333333,1657287153.7916667,0.4520339728208061
JPMorgan,213060698092.36334,357281404678.3939,0.5963386151712806
KBI,0,8471593.666666666,0
Keeley,390899324.8908333,362292611.5,1.0789602450692908
Kellner,349773284.8325,186673122.75,1.8737206496562986
Kempner,83484058.61666666,79609350.41666667,1.0486715213692888
Kinetics,2100553963.7675,1436141593.9166667,1.4626370914018567
Kirr Marbach Partners,109140061.84166667,76842578.41666667,1.4203071277732513
Knowledge Leaders Capital,586152623.7041667,388782036.8333333,1.5076638531924869
Kopernik,1241584268.2833333,1280530165.75,0.9695861147918712
KP Funds,2511929498.025,14317590298.5,0.17544359390477637
Ladenburg Thalmann,59257168.958333336,162498465.25,0.36466294538331545
Lateef,83025147.1875,59975815.58333333,1.3843104321297774
Laudus Funds,2753957883.2083335,3352168653.416667,0.8215451452305025
Lawson Kroeker,26614821,28014408.666666668,0.950040435144648
Lazard,31615365550.983334,30571268363.583332,1.0341528907136786
LEADER,409637128.40666664,241827582.33333334,1.6939222749290272
Leavell,109233158.92,111280263.66666667,0.9816040627581666
LeeHawaii,163136956.2783333,160917145.75,1.0137947421201592
Legg Mason,82228898748.92682,114542023113.19405,0.7178928441631035
Leland Funds,76478841.37916666,27104084.916666668,2.8216721433062952
Leuthold,1783161539.4133334,1082446987.4166667,1.6473430663509625
LGM Capital,25975135.961428575,39416769.33333333,0.6589869337531513
Liberty Street,575883071.1283333,627566404.5,0.9176448372617328
Lisanti SmallCap,23206734,29408358.833333332,0.7891203358718539
Litman Gregory Masters Funds,4042129484.6741667,3035069807.25,1.331807747887235
LKCM,750206712,965627332.9166666,0.7769112228151299
LMCG Funds,17040655.8375,43842514.666666664,0.3886787965302538
LoCorr Funds,4101539851.7133336,1537439055.5833333,2.6677739431805527
Logan Capital,32684555.001666665,31326184.916666668,1.0433621294330448
Logan Circle Partners,5122557.4875,17103717.333333332,0.2994996577449674
Long Short,107616561.405,52094249.666666664,2.0658049994692633
Longboard,1410702191.3275,409655215.5,3.443632933137892
Longleaf Partners,8508399982.812501,7995341149.083334,1.0641697238632513
Loomis Sayles Funds,14408176955.22356,18805273821.75,0.7661774612693595
Lord Abbett,93576878992.05972,132005544537,0.7088859738450679
LS,130742195.41666666,393834840,0.3319721419686147
LSV Fund,1705064512.8891668,3333172006.833333,0.5115441115530839
Lyrical,1618383043.8016665,1138519586.9166665,1.4214801944554718
Macquarie Investment Management,920765292.5208334,1011453587.8333334,0.9103386488481728
Madison Funds,2529601207.9416666,2357686249.1666665,1.072916809365862
MAI,114428182.39416666,125351137.83333334,0.9128611384948908
Main Management,30620239.7,47449134.333333336,0.6453276783700789
MainGate Trust,2859373942.5249996,1569912511.9166665,1.8213587832573308
MainStay,50042604211.63583,52993076401.46667,0.9443234401513407
Mairs & Power,4123797924.369167,5755361018.916667,0.716514204897852
Manning & Napier,6334300203.0824995,7038392262.25,0.8999640780261912
Manor Investment Funds,19926873.779999997,19424452.333333336,1.02586541118611
Marathon Funds,78433826.71666667,64949102.666666664,1.2076198668857154
Marketfield Funds,1371236919.2966666,376982068.5,3.637406216037744
Marmont Funds,0,6028101.386363637,0
Marshfield,12616992.758333333,20512619.75,0.6150844169152666
Marsico Investment Fund,1353521086.6958332,1311054378.9166667,1.032391263445729
MassMutual,16403941895.156666,31640645945.636364,0.5184452278041742
Matrix Advisors Funds Trust,6006622.8,11034879.916666666,0.5443305994592496
Matrix/LMH,58284244.177499995,56378548.583333336,1.0338017852898402
Matthew 25,433053598.05,368777948.25,1.1742936368755612
Matthews Asia Funds,25510475725.580833,28574120467.083332,0.8927825356853332
MD Sass,21558258.379166666,22991136.083333332,0.9376769508486628
Meeder Funds,1667110598.5658333,1708166857.25,0.9759647258639219
Meehan Focus,61216312.166666664,67428970.66666667,0.9078636609965156
Mercator,0,3753630.222222222,0
Mercer Funds,6418188242.5975,6936203934.954546,0.9253171191022023
Meridian,3217067402.621667,4195549654.5833335,0.7667809148932976
Meritage Portfolio Management,67020849.270833336,72707078.5,0.9217926322102646
Merk Funds,146707410.35833335,97814031.16666666,1.499860588593436
Mesirow Financial,0,34097565,0
Metropolitan West Funds,43589381649.370834,82242189098.16667,0.5300124197489597
MFS,168431001086.95813,249867421464.1,0.6740814792902389
MH Elite,36584143.02083333,31822669.5,1.1496252073017736
Midas,135720410.275,29738761.5,4.563754622901832
Miller Investment,1702018804.8283334,1256570142.75,1.354495659990353
Miller Value Funds,2608123742.9166665,1765029102.2,1.4776661414057144
Mirae Asset Global Investments,277366613.8125,396060259.8333333,0.7003141742350496
Mission Funds,18451849.816666666,16049826.53030303,1.1496603892776331
Moerus Funds,45442358.27916667,53505093.91666667,0.8493090087822743
Moncapfund,7114251.020833333,10653550,0.6677821966230348
Mondrian,803635925.2558333,796212510.6666666,1.0093234086248546
Monetta,247586139.16166666,182710062.4166667,1.355076649238132
Monteagle Funds,130249940.54166667,136093437,0.9570626138398333
Morgan Stanley,23715531538.018093,37801938444.17966,0.6273628420679459
Morningstar,0,782662076.5,0
Motley Fool,679907966.125,742807537.5833334,0.9153218454635339
MP 63,45537513.3,66469376.833333336,0.6850901192316228
MProved,94.39999999999999,18075507.916666668,5.222536508252568e-6
Muhlenkamp,281900386.1333334,227090205.33333334,1.2413586297988817
Mundoval Funds,33853044,22866491.166666668,1.4804651817043464
Mutual of America,2208747437.0333333,8811316490,0.2506716719958987
Muzinich,459430217.62866664,1162202374.5595238,0.395309997368394
Nationwide,11322740412.043333,17231586773.476192,0.6570921506469688
Natixis Funds,47119487173.103806,54763762337.333336,0.86041362320685
Navigator Funds,910195327.4166666,3416285282.1666665,0.26642837241022366
Needham,389115477.78833336,188624361.91666666,2.0629120959478326
Neiman Funds,41627076.325,37330835.916666664,1.1150855667396198
Neuberger Berman,36118508447.757774,38051918501.35714,0.9491902082800264
New Alternatives,224370055.16250002,190858843.9166667,1.1755811287448912
New Covenant,296760031.02833337,682592504.4166666,0.4347543067176515
